"","FunctionalGroup","d15N_w","d15N_w_sd","d13C_w","d13C_w_sd","PB_w","PB_w_sd","QB_w","QB_w_sd","biomass"
"1","BenthicInvertebrates",11.4655868126558,2.0815297747764,-16.3773483769035,0.864125740407465,2,0,10,0,490
"2","BenthicPredators",12.9191620955763,1.25982916570396,-16.4387002305466,1.29975906550317,0.67495337714394,0.43939012407639,4.49548995318394,0.730403030862438,1007
"3","BlueCrabs",12.4304603476471,0.965305251573167,-16.5164947947059,0.726143414697763,1.21,0,4,0,2270
"4","Detritivore",8.34466661743791,3.14315442371574,-17.0940754729412,2.55433591458572,0.254085633724567,0.193907418225746,0.951584796160388,0.809608965825656,153
"5","MudSnails",12.1517386026667,0.98608090216961,-14.496125894,0.691232453020867,2,0,10,0,22
"6","PelagicFish",14.3667098786589,0.76397633605409,-17.7435502970601,0.761419511843886,1.25313245067588,0.251256831270686,10.2556240962296,1.70571907783965,2827
"7","PredatorFish",14.1113569904762,1.22583607068164,-17.4897350907143,1.45108788152234,0.798898187481001,0.442117115100862,2.49997003298919,1.33110438808699,294
"8","StructureFish",13.7995633635543,0.781554142487235,-16.7135552168106,0.400767964794397,2.17528606380309,1.29141854058426,7.57574747657509,6.27909770834181,190
"9","Whelk",12.705874,0,-16.76227833,0,10,0,30,0,1674
"10","BenthicAlg",10.2230020163333,1.22998493719132,-11.4087538301667,1.56737865906842,NA,NA,NA,NA,NA
"11","BenthicAlg2",11.7466666666667,0.907715080114166,-19.1583333333333,0.322826062557946,NA,NA,NA,NA,NA
"12","Detritus",5.8,1.89736659610103,-15.7,2.05548047910945,NA,NA,NA,NA,NA
"13","Oysters",10.3226086956522,0.346622894267011,-20.0426086956522,0.860307647886416,0.63,NA,2,NA,NA
"14","Phytoplankton",6.92260869565217,0.346622894267011,-20.4426086956522,0.860307647886416,NA,NA,NA,NA,NA
"15","Zooplankton",11.701488395942,0.699193045211673,-18.3685519513043,1.11430193216114,NA,NA,NA,NA,NA
